Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Faridabad,3.0,0.0,0.0,19.0,2.0,3.0,6.0,0.0,3.0,2.0,2.0
Farmington,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Farnborough,18.0,0.0,0.0,20.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0
Farroupilha,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Fasa,7.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Fatehpur,11.0,0.0,0.0,10.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0
Fayetteville,28.0,0.0,0.0,32.0,1.0,9.0,24.0,0.0,9.0,0.0,0.0
Fayún,13.0,0.0,0.0,11.0,1.0,5.0,4.0,0.0,2.0,0.0,0.0
Feira,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Feira de Santana,14.0,0.0,0.0,17.0,1.0,3.0,11.0,0.0,9.0,0.0,0.0
Felahiye,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fengcheng,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Fernando de la Mora,1.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ferndown,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ferrara,14.0,0.0,0.0,25.0,0.0,6.0,10.0,0.0,3.0,0.0,0.0
Fes,28.0,0.0,0.0,29.0,2.0,4.0,18.0,0.0,4.0,0.0,0.0
Fianarantsoa,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Firminy,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Firozabad,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiumicino,4.0,0.0,0.0,11.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0
Flensburg,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0
Flers,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
Fleury-les-Aubrais,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Florence,49.0,0.0,0.0,66.0,2.0,17.0,27.0,0.0,11.0,0.0,11.0
Florencia,9.0,0.0,0.0,16.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0
Floriano,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floridablanca,2.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
